,Airbnb_Id,Neighbourhood,Host_ResponseTime,Superhost,Property_Type,Room_Type,Num_Baths_Detailed,Num_Bedrooms,Num_Beds,Amenities,Price_per_Night,Availablility_365Days,Minimum_Nights,Num_Reviews,Accuray_ReviewScore,Cleanliness_ReviewScore,Communication_ReviewScore,Value_ReviewScore,Reviews_per_Month,Num_Host_Listings,longitude,latitude,Minimum_Income_per_Booking,Monthly_Income,Yearly_Income
51,540348,Kensington-Cedar Cottage,within an hour,False,Entire house,Entire home/apt,1 bath,3.0,3.0,765,425.0,350,1,Between 20 and 35,9.0,10.0,10.0,9.0,0.35,1,-123.06393,49.25759,425.0,63.75,765.0
52,557357,Grandview-Woodland,within a few hours,False,Entire house,Entire home/apt,1 bath,1.0,1.0,589,80.0,286,30,More than 100,10.0,10.0,10.0,10.0,1.75,2,-123.06246,49.27917,2400.0,3096.0,37152.0
54,654744,West End,within an hour,True,Entire apartment,Entire home/apt,2 baths,2.0,3.0,721,130.0,278,30,Between 50 and 75,10.0,9.0,10.0,9.0,0.62,1,-123.14175,49.29178,3900.0,1560.0,18720.0
55,703179,Downtown,within a day,True,Entire condominium,Entire home/apt,1 bath,1.0,1.0,765,97.0,0,3,More than 100,10.0,10.0,10.0,10.0,1.56,1,-123.10875,49.27945,291.0,157.14000000000001,1885.6800000000003
56,713271,West End,within an hour,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,319,135.0,301,30,Between 75 and 100,10.0,10.0,10.0,10.0,0.8,1,-123.13621,49.28104,4050.0,7735.5,92826.0
57,727856,Downtown,within a day,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,274,141.0,364,30,Less than 5,9.0,8.0,10.0,7.0,0.06,4,-123.11571,49.284,4230.0,2876.4,34516.8
58,755558,Kitsilano,within a few hours,False,Entire guest suite,Entire home/apt,1 bath,2.0,2.0,829,125.0,8,2,Between 75 and 100,10.0,9.0,10.0,10.0,0.83,1,-123.16653,49.25996,250.0,122.5,1470.0
59,763445,Renfrew-Collingwood,within a day,True,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,436,51.0,48,5,More than 100,10.0,10.0,10.0,10.0,1.78,1,-123.04453,49.24438,255.0,604.35,7252.200000000001
60,771380,Downtown,within an hour,False,Entire serviced apartment,Entire home/apt,2 baths,2.0,3.0,442,350.0,364,30,Between 5 and 10,9.0,9.0,8.0,9.0,0.07,22,-123.12187,49.27918,10500.0,4305.0,51660.0
61,784153,Kitsilano,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,516,66.0,165,30,Between 35 and 50,10.0,9.0,10.0,9.0,0.48,3,-123.17438,49.26186,1980.0,653.4,7840.799999999999
62,785297,Kitsilano,within an hour,True,Private room in guest suite,Private room,1 private bath,1.0,1.0,491,47.0,285,14,Between 50 and 75,10.0,10.0,10.0,10.0,0.61,3,-123.17326,49.26355,658.0,960.68,11528.16
63,785752,Kitsilano,within an hour,True,Entire guest suite,Entire home/apt,2 baths,2.0,3.0,590,114.0,0,30,Less than 5,10.0,10.0,10.0,10.0,0.03,3,-123.17482,49.26213,3420.0,34.2,410.40000000000003
64,801222,Fairview,within a few hours,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,361,75.0,240,30,Between 20 and 35,9.0,10.0,10.0,9.0,0.23,3,-123.12119,49.25804,2250.0,3307.5,39690.0
66,874731,Fairview,within an hour,False,Private room in townhouse,Private room,1 private bath,1.0,1.0,663,79.0,318,6,Between 50 and 75,9.0,9.0,10.0,9.0,0.53,1,-123.12199,49.25785,474.0,14.219999999999999,170.64
67,885600,Dunbar Southlands,within a few hours,True,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,598,130.0,102,3,More than 100,10.0,10.0,10.0,10.0,1.95,1,-123.18517,49.24803,390.0,113.1,1357.1999999999998
68,906964,Grandview-Woodland,within a day,False,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,422,100.0,350,3,More than 100,9.0,9.0,9.0,9.0,1.63,1,-123.0698,49.27213,300.0,105.0,1260.0
69,944021,Downtown,within a few hours,False,Entire condominium,Entire home/apt,1 bath,1.0,1.0,440,130.0,364,90,Less than 5,9.0,9.0,9.0,9.0,0.04,1,-123.11794,49.27805,11700.0,20475.0,245700.0
70,961831,Kitsilano,within a few hours,False,Private room in house,Private room,1 shared bath,1.0,1.0,275,55.0,324,4,Between 5 and 10,10.0,10.0,10.0,10.0,2.03,2,-123.15939,49.26648,220.0,94.6,1135.1999999999998
72,1012385,Mount Pleasant,within a few hours,True,Entire house,Entire home/apt,1.5 baths,1.0,1.0,713,70.0,187,2,More than 100,10.0,10.0,10.0,10.0,2.8,1,-123.0874,49.25674,140.0,86.8,1041.6
75,1109821,West End,within a day,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,356,55.0,10,30,Between 10 and 20,9.0,9.0,9.0,9.0,0.13,46,-123.13446,49.29258,1650.0,2574.0,30888.0
76,1113551,Kitsilano,within an hour,False,Entire house,Entire home/apt,2 baths,4.0,7.0,416,560.0,94,5,Between 35 and 50,10.0,9.0,10.0,9.0,0.38,1,-123.15989,49.26008,2800.0,2240.0,26880.0
77,1118858,West End,within a day,False,Private room in house,Private room,1 private bath,1.0,1.0,94,50.0,348,30,Between 50 and 75,9.0,9.0,9.0,9.0,0.61,3,-123.13021,49.28239,1500.0,90.0,1080.0
79,1178149,Hastings-Sunrise,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,433,72.0,88,2,Between 35 and 50,10.0,10.0,10.0,10.0,1.11,1,-123.04828,49.26957,144.0,119.52,1434.24
80,1214617,Grandview-Woodland,within an hour,True,Entire guest suite,Entire home/apt,1 bath,2.0,2.0,601,149.0,267,3,More than 100,10.0,10.0,10.0,10.0,2.04,1,-123.06909,49.26731,447.0,795.66,9547.92
82,1255248,Downtown,within an hour,False,Entire condominium,Entire home/apt,1 bath,1.0,1.0,433,80.0,347,180,Between 35 and 50,10.0,10.0,10.0,10.0,0.52,2,-123.11681,49.27871,14400.0,1008.0000000000001,12096.000000000002
83,1316477,Downtown,within a day,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,350,80.0,103,90,Between 5 and 10,10.0,9.0,10.0,9.0,0.11,46,-123.11993,49.27859,7200.0,3456.0,41472.0
84,1343519,West End,within a day,False,Private room in house,Private room,1 private bath,1.0,1.0,142,50.0,365,30,Between 50 and 75,9.0,9.0,10.0,9.0,0.76,3,-123.13068,49.28247,1500.0,915.0,10980.0
85,1360765,Downtown,within an hour,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,220,97.0,234,30,More than 100,9.0,9.0,10.0,10.0,1.18,3,-123.11432,49.284,2910.0,87.3,1047.6
88,1398788,Arbutus Ridge,within an hour,True,Entire guesthouse,Entire home/apt,1 bath,1.0,2.0,431,104.0,347,31,Between 75 and 100,10.0,10.0,10.0,10.0,0.92,1,-123.16762,49.23968,3224.0,741.52,8898.24
89,1399744,Mount Pleasant,within an hour,False,Entire apartment,Entire home/apt,2 baths,2.0,4.0,297,450.0,86,30,Between 5 and 10,10.0,10.0,10.0,9.0,0.1,1,-123.11064,49.26964,13500.0,8370.0,100440.0
91,1434301,Mount Pleasant,within an hour,True,Entire apartment,Entire home/apt,1 bath,2.0,2.0,465,150.0,139,2,More than 100,10.0,9.0,10.0,9.0,1.37,1,-123.09694,49.26618,300.0,159.0,1908.0
93,1502887,Downtown,within a day,True,Entire apartment,Entire home/apt,2 baths,1.0,1.0,424,98.0,179,90,Between 5 and 10,10.0,9.0,10.0,9.0,0.06,46,-123.12716,49.29014,8820.0,17199.0,206388.0
94,1507975,Riley Park,within an hour,True,Private room in house,Private room,1 private bath,1.0,0.0,597,64.0,253,3,More than 100,10.0,10.0,10.0,10.0,2.73,2,-123.09121,49.24882,192.0,312.96,3755.5199999999995
95,1565861,Kitsilano,within a few hours,False,Entire house,Entire home/apt,2 baths,2.0,3.0,684,450.0,100,5,Between 50 and 75,10.0,10.0,10.0,10.0,0.8,1,-123.15362,49.27383,2250.0,90.0,1080.0
98,1657214,Downtown Eastside,within a day,False,Entire loft,Entire home/apt,2 baths,2.0,2.0,556,250.0,340,90,Less than 5,10.0,10.0,10.0,9.0,0.04,1,-123.10984,49.28167,22500.0,45674.99999999999,548099.9999999999
101,1820919,Mount Pleasant,within a few hours,False,Entire house,Entire home/apt,2.5 baths,3.0,3.0,450,285.0,13,2,Between 35 and 50,10.0,10.0,10.0,10.0,0.42,1,-123.11479,49.2585,570.0,74.10000000000001,889.2
104,1937255,Grandview-Woodland,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,2.0,794,95.0,140,2,More than 100,10.0,10.0,10.0,10.0,2.34,2,-123.06582,49.27774,190.0,532.0,6384.0
107,1956739,Downtown,within an hour,True,Entire loft,Entire home/apt,1 bath,1.0,0.0,448,139.0,347,180,More than 100,10.0,10.0,10.0,9.0,1.12,14,-123.10712,49.28474,25020.0,14511.599999999999,174139.19999999998
109,1995592,Kitsilano,within an hour,False,Private room in house,Private room,1 private bath,2.0,4.0,616,110.0,273,2,More than 100,10.0,9.0,10.0,9.0,2.88,1,-123.16448,49.26278,220.0,840.4,10084.8
110,2003897,Fairview,within an hour,False,Entire condominium,Entire home/apt,1 bath,1.0,1.0,737,120.0,0,120,Less than 5,9.0,10.0,10.0,9.0,0.03,1,-123.11627,49.26263,14400.0,1872.0,22464.0
111,2008047,Strathcona,within a day,False,Entire apartment,Entire home/apt,2 baths,1.0,1.0,263,160.0,365,30,Between 50 and 75,10.0,10.0,10.0,10.0,0.64,1,-123.09872,49.28519,4800.0,1824.0,21888.0
112,2011559,Kitsilano,within a day,False,Entire house,Entire home/apt,3 baths,4.0,4.0,488,575.0,72,5,Between 20 and 35,10.0,10.0,10.0,9.0,0.46,1,-123.15881,49.26057,2875.0,1753.75,21045.0
116,2056676,Downtown,within an hour,False,Entire apartment,Entire home/apt,1 bath,1.0,2.0,253,110.0,291,30,Between 75 and 100,9.0,9.0,9.0,9.0,1.02,3,-123.11599,49.27393,3300.0,2574.0,30888.0
117,2084273,Renfrew-Collingwood,within an hour,True,Private room in house,Private room,1.5 baths,1.0,1.0,392,75.0,347,31,Between 35 and 50,10.0,10.0,10.0,10.0,0.46,5,-123.03547,49.24976,2325.0,2580.75,30969.0
118,2092610,Mount Pleasant,within a few hours,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,872,112.0,164,30,Between 20 and 35,10.0,10.0,10.0,10.0,0.38,2,-123.0969,49.2655,3360.0,6854.400000000001,82252.8
120,2108899,Kitsilano,within a few hours,False,Private room in house,Private room,2 shared baths,1.0,1.0,351,58.0,359,31,Between 5 and 10,10.0,9.0,10.0,10.0,0.11,1,-123.16177,49.26933,1798.0,233.74,2804.88
121,2188113,West End,within an hour,True,Entire condominium,Entire home/apt,2 baths,2.0,4.0,508,300.0,365,30,Between 35 and 50,10.0,10.0,10.0,9.0,0.42,1,-123.12275,49.28514,9000.0,4680.0,56160.0
125,2278806,Victoria-Fraserview,within an hour,False,Private room in house,Private room,1.5 shared baths,1.0,1.0,349,50.0,247,30,Between 10 and 20,9.0,8.0,10.0,9.0,0.23,2,-123.0552,49.22718,1500.0,165.0,1980.0
127,2361393,Kensington-Cedar Cottage,within an hour,True,Entire guest suite,Entire home/apt,1 bath,2.0,3.0,421,90.0,195,30,More than 100,10.0,10.0,10.0,9.0,1.51,1,-123.08606,49.239,2700.0,2052.0,24624.0
128,2446828,Mount Pleasant,within an hour,True,Entire house,Entire home/apt,1.5 baths,2.0,4.0,809,82.0,251,2,More than 100,10.0,9.0,10.0,10.0,3.12,1,-123.09179,49.25701,164.0,193.51999999999998,2322.24
130,2502137,Mount Pleasant,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,696,75.0,316,30,Between 35 and 50,10.0,10.0,10.0,10.0,0.56,1,-123.08299,49.25877,2250.0,2497.5,29970.0
131,2576878,Fairview,within a few hours,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,474,65.0,132,30,Between 5 and 10,10.0,10.0,10.0,10.0,0.06,3,-123.12294,49.25865,1950.0,2320.5,27846.0
132,2592307,South Cambie,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,2.0,451,112.0,318,2,More than 100,10.0,10.0,10.0,10.0,6.32,1,-123.1186,49.25222,224.0,206.08,2472.96
133,2632171,Hastings-Sunrise,within an hour,False,Private room in house,Private room,1 shared bath,1.0,1.0,391,45.0,334,1,Between 50 and 75,9.0,9.0,10.0,9.0,0.73,3,-123.04216,49.2883,45.0,4.5,54.0
134,2653578,Downtown,within an hour,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,462,151.0,50,1,More than 100,10.0,9.0,10.0,9.0,4.98,1,-123.12496,49.28044,151.0,67.95,815.4000000000001
135,2658803,West End,within a day,True,Entire apartment,Entire home/apt,1 bath,2.0,2.0,374,74.0,69,30,Between 10 and 20,9.0,9.0,9.0,9.0,0.19,46,-123.12628,49.28169,2220.0,3041.4,36496.8
136,2675179,Kitsilano,within a few hours,True,Entire house,Entire home/apt,2 baths,2.0,2.0,343,493.0,347,30,Between 75 and 100,10.0,10.0,10.0,10.0,1.08,1,-123.15131,49.27512,14790.0,2662.2,31946.399999999998
137,2695452,Victoria-Fraserview,within an hour,False,Private room in house,Private room,1.5 shared baths,1.0,1.0,376,50.0,64,30,Between 5 and 10,9.0,6.0,9.0,8.0,0.07,2,-123.05439,49.22505,1500.0,90.0,1080.0
138,2728122,Kitsilano,within an hour,False,Entire apartment,Entire home/apt,1 bath,1.0,1.0,585,70.0,72,3,More than 100,10.0,9.0,10.0,9.0,2.7,2,-123.15201,49.26872,210.0,573.3,6879.599999999999
140,2836478,Downtown,within a day,False,Entire apartment,Entire home/apt,2 baths,2.0,3.0,368,132.0,304,90,Less than 5,10.0,9.0,10.0,10.0,0.04,1,-123.12547,49.27293,11880.0,9504.0,114048.0
142,2889958,West Point Grey,within an hour,True,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,419,129.0,361,3,More than 100,10.0,10.0,10.0,10.0,2.1,1,-123.19988,49.25819,387.0,998.46,11981.52
144,2958786,West End,within a few hours,False,Private room in apartment,Private room,1 bath,1.0,1.0,337,61.0,62,2,More than 100,10.0,10.0,10.0,9.0,4.06,1,-123.13535,49.29314,122.0,190.32,2283.84
145,2988185,West End,within a day,True,Entire apartment,Entire home/apt,1 bath,2.0,3.0,289,72.0,19,30,Less than 5,9.0,10.0,9.0,8.0,0.04,46,-123.13288,49.28884,2160.0,86.4,1036.8000000000002
148,3021408,West Point Grey,within an hour,False,Entire guest suite,Entire home/apt,1 bath,2.0,0.0,489,150.0,38,6,Between 75 and 100,10.0,9.0,10.0,10.0,1.01,1,-123.20888,49.26229,900.0,2718.0,32616.0
149,3100878,Downtown,within a day,False,Entire condominium,Entire home/apt,1 bath,1.0,0.0,354,110.0,225,30,Less than 5,10.0,10.0,10.0,8.0,0.05,1,-123.12585,49.27622,3300.0,9570.0,114840.0
152,3130486,Mount Pleasant,within an hour,True,Entire loft,Entire home/apt,1 bath,1.0,1.0,527,149.0,155,3,Between 75 and 100,10.0,9.0,10.0,9.0,0.96,2,-123.09774,49.26731,447.0,187.73999999999998,2252.8799999999997
153,3138351,Renfrew-Collingwood,within a few hours,True,Private room in house,Private room,1 shared bath,1.0,1.0,487,40.0,224,30,Between 35 and 50,10.0,9.0,9.0,9.0,0.46,2,-123.03668,49.24187,1200.0,3228.0,38736.0
154,3158555,Hastings-Sunrise,within a few hours,False,Entire house,Entire home/apt,1 bath,1.0,1.0,468,75.0,271,2,More than 100,10.0,10.0,10.0,10.0,1.66,1,-123.05217,49.2785,150.0,6.0,72.0
158,3215295,Riley Park,within an hour,False,Entire guest suite,Entire home/apt,1 bath,1.0,1.0,499,100.0,363,30,Between 35 and 50,10.0,10.0,10.0,10.0,0.5,1,-123.10378,49.2498,3000.0,7020.0,84240.0
159,3230030,Downtown,within a day,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,295,79.0,17,30,Less than 5,10.0,10.0,10.0,9.0,0.04,46,-123.12417,49.28875,2370.0,4834.8,58017.600000000006
160,3230170,West End,within a day,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,356,65.0,7,30,Between 5 and 10,10.0,9.0,10.0,8.0,0.13,46,-123.13613,49.27865,1950.0,175.5,2106.0
161,3240635,Downtown,within a day,True,Entire apartment,Entire home/apt,1 bath,1.0,1.0,295,83.0,0,30,Less than 5,10.0,8.0,10.0,9.0,0.05,46,-123.11625,49.27515,2490.0,2788.8,33465.600000000006
163,3309313,Downtown,within an hour,False,Entire serviced apartment,Entire home/apt,2 baths,2.0,3.0,660,499.0,364,30,Less than 5,10.0,9.0,9.0,7.0,0.02,22,-123.12156,49.27899,14970.0,18562.8,222753.59999999998
164,3342823,Kitsilano,within a few hours,False,Entire condominium,Entire home/apt,1 bath,2.0,2.0,545,222.0,180,2,Between 75 and 100,10.0,9.0,10.0,9.0,0.92,1,-123.15529,49.26488,444.0,1278.72,15344.64
165,3401626,Downtown,within an hour,False,Entire condominium,Entire home/apt,2 baths,2.0,2.0,424,115.0,296,90,Less than 5,10.0,9.0,10.0,10.0,0.05,40,-123.12746,49.27642,10350.0,310.5,3726.0
166,3415750,West End,within an hour,True,Entire condominium,Entire home/apt,1 bath,1.0,0.0,384,95.0,313,30,Between 75 and 100,10.0,9.0,10.0,10.0,1.13,1,-123.12267,49.28374,2850.0,1824.0,21888.0
167,3425973,Kitsilano,within a few hours,False,Entire townhouse,Entire home/apt,2.5 baths,2.0,2.0,437,188.0,163,7,Between 10 and 20,9.0,10.0,9.0,9.0,0.14,1,-123.1524,49.27523,1316.0,605.36,7264.32
168,3430102,Renfrew-Collingwood,within an hour,True,Private room in apartment,Private room,1 bath,1.0,1.0,122,50.0,0,4,Less than 5,8.0,10.0,10.0,10.0,0.05,2,-123.02764,49.23322,200.0,113.99999999999999,1367.9999999999998
170,3479638,Renfrew-Collingwood,within a few hours,False,Private room in house,Private room,1 shared bath,1.0,1.0,374,40.0,122,30,Between 20 and 35,9.0,10.0,10.0,9.0,0.28,5,-123.04974,49.24559,1200.0,3432.0,41184.0
171,3484837,Grandview-Woodland,within a day,False,Entire house,Entire home/apt,1 bath,2.0,2.0,243,199.0,238,1,Between 50 and 75,10.0,9.0,10.0,9.0,0.76,1,-123.06936,49.26665,199.0,290.54,3486.4800000000005
173,3534949,Dunbar Southlands,within an hour,True,Private room in house,Private room,1.5 baths,1.0,1.0,350,102.0,347,2,Between 50 and 75,10.0,10.0,10.0,9.0,0.76,2,-123.20131,49.25782,204.0,208.08,2496.96
